2025-12-12 15:31:36 PKT STATEMENT:  SELECT COUNT(*) FROM (SELECT "public"."bookings"."id" FROM "public"."bookings" WHERE ("public"."bookings"."date" >= $1 AND "public"."bookings"."date" < $2) OFFSET $3) AS "sub"
2025-12-12 15:31:37 PKT ERROR:  relation "public.bootcamps" does not exist at character 61
2025-12-12 15:31:37 PKT STATEMENT:  SELECT COUNT(*) FROM (SELECT "public"."bootcamps"."id" FROM "public"."bootcamps" WHERE "public"."bootcamps"."isActive" = $1 OFFSET $2) AS "sub"
2025-12-12 15:36:34 PKT ERROR:  relation "public_users" does not exist at character 68
2025-12-12 15:36:34 PKT STATEMENT:  SELECT id, email, name, image, "isPaid", "subscriptionStatus" FROM public_users WHERE id = '68da82ca-caec-5f9d-17be-a60b000000000000'
2025-12-12 15:36:47 PKT ERROR:  relation "public_users" does not exist at character 68
2025-12-12 15:36:47 PKT STATEMENT:  SELECT id, email, name, image, "isPaid", "subscriptionStatus" FROM public_users WHERE id = '68da82ca-caec-5f9d-17be-a60b000000000000'
2025-12-12 15:36:50 PKT ERROR:  relation "public_users" does not exist at character 68
2025-12-12 15:36:50 PKT STATEMENT:  SELECT id, email, name, image, "isPaid", "subscriptionStatus" FROM public_users WHERE id = '68da82ca-caec-5f9d-17be-a60b000000000000'
2025-12-12 15:38:16 PKT ERROR:  relation "public_users" does not exist at character 68
2025-12-12 15:38:16 PKT STATEMENT:  SELECT id, email, name, image, "isPaid", "subscriptionStatus" FROM public_users WHERE id = '68da82ca-caec-5f9d-17be-a60b000000000000'
2025-12-12 15:41:34 PKT ERROR:  relation "public_users" does not exist at character 68
2025-12-12 15:41:34 PKT STATEMENT:  SELECT id, email, name, image, "isPaid", "subscriptionStatus" FROM public_users WHERE id = '68da82ca-caec-5f9d-17be-a60b000000000000'
2025-12-12 15:41:40 PKT ERROR:  relation "public.subscribers" does not exist at character 63
2025-12-12 15:41:40 PKT STATEMENT:  SELECT COUNT(*) FROM (SELECT "public"."subscribers"."id" FROM "public"."subscribers" WHERE "public"."subscribers"."isActive" = $1 OFFSET $2) AS "sub"
2025-12-12 15:41:40 PKT ERROR:  relation "public.bookings" does not exist at character 60
2025-12-12 15:41:40 PKT STATEMENT:  SELECT COUNT(*) FROM (SELECT "public"."bookings"."id" FROM "public"."bookings" WHERE ("public"."bookings"."date" >= $1 AND "public"."bookings"."date" < $2) OFFSET $3) AS "sub"
2025-12-12 15:41:40 PKT ERROR:  relation "public.bootcamps" does not exist at character 61
2025-12-12 15:41:40 PKT STATEMENT:  SELECT COUNT(*) FROM (SELECT "public"."bootcamps"."id" FROM "public"."bootcamps" WHERE "public"."bootcamps"."isActive" = $1 OFFSET $2) AS "sub"
2025-12-12 15:41:40 PKT ERROR:  relation "public.subscribers" does not exist at character 63
2025-12-12 15:41:40 PKT STATEMENT:  SELECT COUNT(*) FROM (SELECT "public"."subscribers"."id" FROM "public"."subscribers" WHERE "public"."subscribers"."isActive" = $1 OFFSET $2) AS "sub"
2025-12-12 15:41:40 PKT ERROR:  relation "public.bookings" does not exist at character 60
2025-12-12 15:41:40 PKT STATEMENT:  SELECT COUNT(*) FROM (SELECT "public"."bookings"."id" FROM "public"."bookings" WHERE ("public"."bookings"."date" >= $1 AND "public"."bookings"."date" < $2) OFFSET $3) AS "sub"
2025-12-12 15:41:40 PKT ERROR:  relation "public.bootcamps" does not exist at character 61
2025-12-12 15:41:40 PKT STATEMENT:  SELECT COUNT(*) FROM (SELECT "public"."bootcamps"."id" FROM "public"."bootcamps" WHERE "public"."bootcamps"."isActive" = $1 OFFSET $2) AS "sub"
2025-12-12 15:41:47 PKT ERROR:  relation "public_users" does not exist at character 68
2025-12-12 15:41:47 PKT STATEMENT:  SELECT id, email, name, image, "isPaid", "subscriptionStatus" FROM public_users WHERE id = '68da82ca-caec-5f9d-17be-a60b000000000000'
2025-12-12 15:46:03 PKT ERROR:  relation "public_users" does not exist at character 68
2025-12-12 15:46:03 PKT STATEMENT:  SELECT id, email, name, image, "isPaid", "subscriptionStatus" FROM public_users WHERE id = '68da82ca-caec-5f9d-17be-a60b000000000000'
2025-12-12 15:46:33 PKT ERROR:  relation "public_users" does not exist at character 68
2025-12-12 15:46:33 PKT STATEMENT:  SELECT id, email, name, image, "isPaid", "subscriptionStatus" FROM public_users WHERE id = '68da82ca-caec-5f9d-17be-a60b000000000000'
2025-12-12 15:54:28 PKT ERROR:  relation "public_users" does not exist at character 68
2025-12-12 15:54:28 PKT STATEMENT:  SELECT id, email, name, image, "isPaid", "subscriptionStatus" FROM public_users WHERE id = '68da82ca-caec-5f9d-17be-a60b000000000000'
2025-12-12 15:54:28 PKT ERROR:  relation "public_users" does not exist at character 68
2025-12-12 15:54:28 PKT STATEMENT:  SELECT id, email, name, image, "isPaid", "subscriptionStatus" FROM public_users WHERE id = '68da82ca-caec-5f9d-17be-a60b000000000000'
2025-12-12 15:55:29 PKT LOG:  checkpoint starting: time
2025-12-12 15:55:29 PKT LOG:  checkpoint complete: wrote 7 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.660 s, sync=0.011 s, total=0.712 s; sync files=7, longest=0.004 s, average=0.002 s; distance=9 kB, estimate=9 kB; lsn=0/5E1FE90, redo lsn=0/5E1FE38
2025-12-12 15:56:04 PKT ERROR:  relation "public_users" does not exist at character 68
2025-12-12 15:56:04 PKT STATEMENT:  SELECT id, email, name, image, "isPaid", "subscriptionStatus" FROM public_users WHERE id = '68da82ca-caec-5f9d-17be-a60b000000000000'
2025-12-12 15:56:34 PKT ERROR:  relation "public_users" does not exist at character 68
2025-12-12 15:56:34 PKT STATEMENT:  SELECT id, email, name, image, "isPaid", "subscriptionStatus" FROM public_users WHERE id = '68da82ca-caec-5f9d-17be-a60b000000000000'
2025-12-12 16:01:04 PKT ERROR:  relation "public_users" does not exist at character 68
2025-12-12 16:01:04 PKT STATEMENT:  SELECT id, email, name, image, "isPaid", "subscriptionStatus" FROM public_users WHERE id = '68da82ca-caec-5f9d-17be-a60b000000000000'
2025-12-12 16:01:34 PKT ERROR:  relation "public_users" does not exist at character 68
2025-12-12 16:01:34 PKT STATEMENT:  SELECT id, email, name, image, "isPaid", "subscriptionStatus" FROM public_users WHERE id = '68da82ca-caec-5f9d-17be-a60b000000000000'
2025-12-12 16:03:10 PKT LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2025-12-12 16:03:10 PKT LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2025-12-12 16:03:10 PKT LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2025-12-12 16:03:10 PKT LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2025-12-12 16:03:10 PKT LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
